Time,Date,Score
Ngày,Giờ,Đội
18/12,22h00,Argentina
Ngày,Giờ,Đội
17/12,22h00,Croatia
Ngày,Giờ,STT
14/12,02h00,BK 1
15/12,02h00,BK 2
Ngày,Giờ,STT
09/12,22h00,TK 1
10/12,02h00,TK 2
10/12,22h00,TK 3
11/12,02h00,TK 4
Ngày,Giờ,STT
03/12,22h00,Trận 1
04/12,02h00,Trận 2
04/12,22h00,Trận 3
05/12,02h00,Trận 4
05/12,22h00,Trận 5
06/12,02h00,Trận 6
06/12,22h00,Trận 7
07/12,02h00,Trận 8
NGÀY,GIỜ,BẢNG
20/11,23h00,A
21/11,23h00,A
20h00,B,Anh 6-2 Iran
22/11,02h00,B
17h00,C,Argentina 1-2 Saudi Arabia
20h00,D,Đan Mạch 0-0 Tunisia
23h00,C,Mexico 0-0 Ba Lan
23/11,02h00,D
17h00,F,Ma-rốc 0-0 Croatia
20h00,E,Đức 1-2 Nhật Bản
23h00,E,Tây Ban Nha 7-0 Costa Rica
24/11,02h00,F
17h00,G,Thụy Sĩ 1-0 Cameroon
20h00,H,Uruguay 0-0 Hàn Quốc
23h00,H,Bồ Đào Nha 3-2 Ghana
25/11,02h00,G
NGÀY,GIỜ,BẢNG
25/11,17h00,B
20h00,A,Qatar 1-3 Senegal
23h00,A,Hà Lan 1-1 Ecuador
26/11,02h00,B
17h00,D,Tunisia 0-1 Australia
20h00,C,Ba Lan 2-0 Saudi Arabia
23h00,D,Pháp 2-1 Đan Mạch
27/11,02h00,C
17h00,E,Nhật Bản 0-1 Costa Rica
20h00,F,Bỉ 0-2 Ma-rốc
23h00,F,Croatia 4-1 Canada
28/11,02h00,E
17h00,G,Cameroon 3-3 Serbia
20h00,H,Hàn Quốc 2-3 Ghana
23h00,G,Brazil 1-0 Thụy Sĩ
29/11,02h00,H
NGÀY,GIỜ,BẢNG
29/11,22h00,A
22h00,A,Ecuador 1-2 Senegal
30/11,02h00,B
02h00,B,Xứ Wales 0-3 Anh
22h00,D,Australia 1-0 Đan Mạch
22h00,D,Tunisia 1-0 Pháp
01/12,02h00,C
02h00,C,Saudi Arabia 1-2 Mexico
22h00,F,Croatia 0-0 Bỉ
22h00,F,Canada 2-1 Ma-rốc
02/12,02h00,E
02h00,E,Costa Rica 2-4 Đức
22h00,H,Uruguay 0-2 Ghana
22h00,H,Hàn Quốc 2-1 Bồ Đào Nha
03/12,02h00,G
02h00,G,Cameroon 0-0 Brazil
